X,Y
-1377.641976736831,-728.1942672717421
-1369.0,-622.0
-1357.5496444909209,-482.0522471019923
-1347.6365891627863,-368.2467968843149
-1340.0,-284.0
-1318.6333336930884,-51.7914822363503
-1317.0,-34.0
-1301.8605294888046,135.61516592539257
-1298.0,181.0
-1282.4938751967768,362.8166024969464
-1281.0,380.0
-1258.750819851289,631.912973078592
-1249.0,742.0
-1241.8757713872662,823.157677057211
-1232.0,942.0
-1226.204086800547,1013.6643546125655
-1217.0,1125.0
-1210.0094942330888,1204.7389440504028
-1196.7574122399303,1349.5787525080925
-1191.0,1417.0
-1185.0,1491.0
-1181.0467261914082,1538.8633198337504
-1163.2835567601126,1746.7827969601506
-1152.0,1877.0
-1139.7816046222417,2016.3624645726861
-1131.0,2116.0
-1115.0,2301.0
-1114.601394981862,2305.7843885946195
-1107.0,2398.0
-1100.9339558577758,2469.2901749443677
-1090.0,2595.0
-1082.6971601787518,2679.191818606837
-1074.0,2780.0
-1067.1953658662915,2859.3376695048114
-1055.0,3002.0
-1047.9530339673152,3084.2862241468692
-1031.981405340194,3269.7134999229256
-1031.0,3281.0
-1019.3514602160122,3414.4256324365647
-1018.0,3430.0
-998.110376688159,3660.546975045012
-989.0,3766.0
-974.2155694632082,3933.519644047425
-966.0,4027.0
-961.1646533168803,4083.260266658374
-950.0,4214.0
-944.5003784545011,4278.429942695423
-934.0,4401.0
-931.9463987120922,4424.782615075422
-913.0,4644.0
-907.8979990257812,4704.173670728838
-888.3967357040083,4936.1131003339515
-883.0,5000.0
-875.6371119132662,5086.140228326209
-867.153832411576,5181.592362478064
-865.0,5206.0
-855.2022824033668,5317.64909058119
-847.0,5412.0
-832.1196241416195,5585.839771030515
-831.0,5599.0
-816.6101274744125,5768.187571378132
-815.0,5787.0
-786.0,6124.0
-776.3144715406366,6235.0445458023705
-770.865627330323,6301.147490307162
-770.0,6312.0
-756.0,6487.0
-742.446179499591,6642.281482268962
-738.0,6693.0
-726.4527627377666,6828.749761695956
-716.0,6954.0
-700.0,7146.0
-699.6670141668682,7150.05294970141
-687.2592627159914,7302.749756250343
-685.0,7330.0
-671.0656719839741,7493.667930564078
-669.0,7518.0
-655.0,7685.0
-652.4863440760936,7712.645720770092
-604.0,8057.0
-603.4659687118599,8058.954858516235
-589.0,8104.0
-586.3975563219047,8110.734944405099
-583.0,8119.0
-547.8694269261168,8185.10635620677
-531.0,8211.0
-498.7906407041297,8248.993672049235
-475.0,8267.0
-441.8940966006807,8285.835087905163
-435.0,8289.0
-401.0,8301.0
-381.84046503338044,8305.82538257865
-361.0,8310.0
-325.0,8316.0
-301.320831685792,8321.16336564053
-277.0,8328.0
-250.87550312860645,8337.419741175316
-237.0,8344.0
-199.0,8373.0
-188.3704256181769,8385.967215367675
-166.0,8427.0
-165.6245095922735,8427.895072220903
-153.0,8467.0
-151.8846704290694,8471.670890656407
-147.0,8497.0
-145.33135305845178,8508.990757669519
-145.0,8512.0
-142.0,8603.0
-142.053779606386,8607.069669739682
-143.7465265010394,8629.7240244742
-144.0,8632.0
-148.72698786359797,8671.88643687337
-153.0,8700.0
-161.0,8739.0
-167.3434802256414,8765.8296406589
-189.77117045668876,8854.279151379977
-191.0,8859.0
-215.59485652877802,8950.00927948922
-218.0,8959.0
-227.4527332982699,8994.790348634742
-238.0,9035.0
-254.89147520293332,9099.41249844264
-266.0,9142.0
